subj_idx,rt,response,identity,omission
0,0.312327700004971,1,1,0
0,0.361663300005603,1,0,0
0,0.264804299993557,1,1,0
0,0.297264000000723,0,0,0
0,0.233899300001212,1,1,0
0,0.247860100003891,0,0,0
0,0.234478899998066,0,1,0
0,0.234273399997619,0,0,0
0,0.234031599997252,0,1,0
0,0.63,0,0,1
0,0.281019100002595,0,1,0
0,0.249203500003205,0,0,0
0,0.234022700002242,1,1,0
0,0.23401659999945,0,0,0
0,0.234255700001086,0,1,0
0,0.354999399998633,0,0,0
0,0.264847300000838,0,0,0
