SubjectUID,DesignCell,P,T_ms,W_ms,Matching,Identity,RT_ms,n_rt
group5_5,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,831.9492163010063,92
group5_5,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,819.2567095713719,94
group5_5,P8_T100_W1100,8,100.0,1100.0,Matching,Self,747.9398991095617,112
group5_6,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,807.1767179287357,106
group5_6,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,774.8541035380347,113
group5_6,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,820.919194314973,88
group5_6,P8_T100_W1100,8,100.0,1100.0,Matching,Self,789.4814096770491,93
group5_7,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,710.972713912918,115
group5_7,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,708.2163048789806,123
group5_7,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,712.9513915866465,107
group5_7,P8_T100_W1100,8,100.0,1100.0,Matching,Self,579.6844828117727,128
group5_8,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,665.3233942775323,70
group5_8,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,509.1492672417519,116
group5_8,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,657.3186878380806,74
group5_8,P8_T100_W1100,8,100.0,1100.0,Matching,Self,651.4791337208725,86
group6_1,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,931.522862392378,117
group6_1,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,891.9261765759646,111
group6_1,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,886.5919950822287,122
group6_1,P120_T500_W1500,120,500.0,1500.0,Matching,Self,856.6620715448825,123
group6_10,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,881.837501904807,105
group6_10,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,804.1397000034759,111
group6_10,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,958.5005017239713,116
group6_10,P120_T500_W1500,120,500.0,1500.0,Matching,Self,871.9077793114674,116
group6_12,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,1075.84133627979,113
group6_12,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,842.6399161267441,124
group6_12,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,1063.3847065556415,122
group6_12,P120_T500_W1500,120,500.0,1500.0,Matching,Self,920.6500023999253,125
group6_13,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,978.8955671855286,128
group6_13,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,942.2168714217914,126
group6_13,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,886.2983333371905,126
group6_13,P120_T500_W1500,120,500.0,1500.0,Matching,Self,933.699433855881,127
group6_15,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,810.2213947343428,114
group6_15,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,809.4219883379992,120
group6_15,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,830.5592465255926,101
group6_15,P120_T500_W1500,120,500.0,1500.0,Matching,Self,780.4872138874124,108
group6_16,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,811.1540780868382,105
group6_16,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,794.021620006404,90
group6_16,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,817.7001607859982,102
group6_16,P120_T500_W1500,120,500.0,1500.0,Matching,Self,836.997022932337,96
group6_3,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,1180.6077288005515,125
group6_3,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,1072.364191128262,124
group6_3,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,1058.2504297538335,121
group6_3,P120_T500_W1500,120,500.0,1500.0,Matching,Self,943.7880737701773,122
group6_4,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,1094.0648090096424,111
group6_4,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,888.6545135993512,125
group6_4,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,1190.9509393437593,122
group6_4,P120_T500_W1500,120,500.0,1500.0,Matching,Self,901.3690370986529,124
group6_5,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,896.8820311981251,125
group6_5,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,898.8347400004776,105
group6_5,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,905.5594831458435,89
group6_5,P120_T500_W1500,120,500.0,1500.0,Matching,Self,846.6557660205086,103
group6_9,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,837.8744121010027,124
group6_9,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,846.2035735541849,121
group6_9,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,803.0710631015818,122
group6_9,P120_T500_W1500,120,500.0,1500.0,Matching,Self,849.2780025016087,120
group7_1,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,638.1395737524144,80
group7_1,P120_T30_W800,120,30.0,800.0,NonMatching,Self,649.4335311694773,77
group7_1,P120_T30_W800,120,30.0,800.0,Matching,Stranger,619.1976711089309,90
group7_1,P120_T30_W800,120,30.0,800.0,Matching,Self,580.6063981608195,108
group7_10,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,627.2898250143044,100
group7_10,P120_T30_W800,120,30.0,800.0,NonMatching,Self,619.1467678540254,112
group7_10,P120_T30_W800,120,30.0,800.0,Matching,Stranger,653.7090358681482,92
group7_10,P120_T30_W800,120,30.0,800.0,Matching,Self,664.2673506277697,79
group7_11,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,735.0284956476612,23
group7_11,P120_T30_W800,120,30.0,800.0,NonMatching,Self,722.5009541531714,24
group7_11,P120_T30_W800,120,30.0,800.0,Matching,Stranger,691.9393297284842,37
group7_11,P120_T30_W800,120,30.0,800.0,Matching,Self,676.548552501481,80
group7_12,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,578.181415599829,96
group7_12,P120_T30_W800,120,30.0,800.0,NonMatching,Self,550.6658442273664,104
group7_12,P120_T30_W800,120,30.0,800.0,Matching,Stranger,615.8267111197641,99
group7_12,P120_T30_W800,120,30.0,800.0,Matching,Self,614.3436042512669,94
group7_2,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,624.8664106083611,66
group7_2,P120_T30_W800,120,30.0,800.0,NonMatching,Self,605.8129515491675,97
group7_2,P120_T30_W800,120,30.0,800.0,Matching,Stranger,652.9367382343694,102
group7_2,P120_T30_W800,120,30.0,800.0,Matching,Self,657.2392990187212,102
group7_3,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,682.696011294836,62
group7_3,P120_T30_W800,120,30.0,800.0,NonMatching,Self,675.5649144963726,69
group7_3,P120_T30_W800,120,30.0,800.0,Matching,Stranger,686.8338943606662,71
group7_3,P120_T30_W800,120,30.0,800.0,Matching,Self,596.0409367006323,109
group7_4,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,668.3650224749522,89
group7_4,P120_T30_W800,120,30.0,800.0,NonMatching,Self,576.9763999943327,114
group7_4,P120_T30_W800,120,30.0,800.0,Matching,Stranger,656.5921530507657,98
group7_4,P120_T30_W800,120,30.0,800.0,Matching,Self,698.5571433311432,90
group7_5,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,620.6893079273292,101
group7_5,P120_T30_W800,120,30.0,800.0,NonMatching,Self,621.2605587626837,97
group7_5,P120_T30_W800,120,30.0,800.0,Matching,Stranger,602.8383991079036,111
group7_5,P120_T30_W800,120,30.0,800.0,Matching,Self,587.9712581976133,122
group7_6,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,691.2009955883739,68
group7_6,P120_T30_W800,120,30.0,800.0,NonMatching,Self,615.5269740696962,108
group7_6,P120_T30_W800,120,30.0,800.0,Matching,Stranger,680.8117789547205,76
group7_6,P120_T30_W800,120,30.0,800.0,Matching,Self,682.5519746811943,79
group7_7,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,662.1317851477036,101
group7_7,P120_T30_W800,120,30.0,800.0,NonMatching,Self,662.8256000070791,111
group7_7,P120_T30_W800,120,30.0,800.0,Matching,Stranger,637.6610160618189,112
group7_7,P120_T30_W800,120,30.0,800.0,Matching,Self,574.9498766788747,120
group7_8,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,390.8547963693061,55
group7_8,P120_T30_W800,120,30.0,800.0,NonMatching,Self,380.88539022696654,51
group7_8,P120_T30_W800,120,30.0,800.0,Matching,Stranger,375.3895233501679,60
group7_8,P120_T30_W800,120,30.0,800.0,Matching,Self,412.79803962833336,53
group7_9,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,471.0981799871661,40
group7_9,P120_T30_W800,120,30.0,800.0,NonMatching,Self,463.4042555466295,45
group7_9,P120_T30_W800,120,30.0,800.0,Matching,Stranger,431.7234719556087,57
group7_9,P120_T30_W800,120,30.0,800.0,Matching,Self,437.6616098861732,91
group8_1,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,638.1395737524144,80
group8_1,P120_T80_W800,120,80.0,800.0,NonMatching,Self,649.4335311694773,77
group8_1,P120_T80_W800,120,80.0,800.0,Matching,Stranger,619.1976711089309,90
group8_1,P120_T80_W800,120,80.0,800.0,Matching,Self,580.6063981608195,108
group8_10,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,627.2898250143044,100
group8_10,P120_T80_W800,120,80.0,800.0,NonMatching,Self,619.1467678540254,112
group8_10,P120_T80_W800,120,80.0,800.0,Matching,Stranger,653.7090358681482,92
group8_10,P120_T80_W800,120,80.0,800.0,Matching,Self,664.2673506277697,79
group8_11,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,735.0284956476612,23
group8_11,P120_T80_W800,120,80.0,800.0,NonMatching,Self,722.5009541531714,24
