SubjectUID,DesignCell,P,T_ms,W_ms,Matching,Identity,ACC,n_trials,omission_rate
group6_3,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.9384615384615385,130,0.05384615384615385
group6_4,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.8538461538461538,130,0.046153846153846156
group6_4,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.9615384615384616,130,0.023076923076923078
group6_4,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.9384615384615385,130,0.03076923076923077
group6_4,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.9538461538461539,130,0.023076923076923078
group6_5,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.9615384615384616,130,0.023076923076923078
group6_5,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.8076923076923077,130,0.05384615384615385
group6_5,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.6846153846153846,130,0.13076923076923078
group6_5,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.7923076923076923,130,0.12307692307692308
group6_9,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.9538461538461539,130,0.007692307692307693
group6_9,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.9307692307692308,130,0.023076923076923078
group6_9,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.9384615384615385,130,0.023076923076923078
group6_9,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.9230769230769231,130,0.03076923076923077
