subj_idx,rt,response,identity
9,0.311134200019296,1,0
9,0.327950099948794,0,1
9,0.3926876999903469,0,0
9,0.23404060001485,1,1
9,0.23351009999169,1,0
9,0.297094199981075,0,1
9,0.42498730000807,1,0
9,0.63273750001099,1,1
9,0.265818299958482,0,0
9,0.250291499949526,1,0
9,0.423727499961387,0,1
9,0.234920300019439,1,1
9,0.280185599985998,1,0
9,0.281513000023551,0,0
9,0.442106799979229,1,1
9,0.551045199972577,1,0
9,0.328373400028795,0,0
9,0.503825000021607,1,1
9,0.360412999987602,0,1
9,0.331270200025756,1,0
9,0.367517100006808,1,1
9,0.328811999992467,0,0
9,0.456504300003871,0,0
9,0.330006100004539,1,1
9,0.393375500047114,0,0
9,0.345738700008951,1,1
9,0.391963100002613,1,1
9,0.360207399993669,1,0
9,0.249782499973662,0,0
9,0.538986400002614,1,1
9,0.393996400001924,1,0
9,0.296565800032113,0,1
9,0.233775100030471,0,0
9,0.298240900039673,1,1
9,0.313566000026185,0,1
9,0.570027300040238,0,0
9,0.524262899998575,1,1
9,0.488132599974051,0,1
9,0.584551200037822,1,0
9,0.599196299968753,1,1
9,0.473941500007641,0,0
9,0.253720699984115,1,1
9,0.505570899986196,1,0
9,0.424987400008831,0,0
9,0.313157900003716,1,1
9,0.393358500034083,1,1
9,0.505873900023289,0,0
9,0.504191000014544,0,0
9,0.394659400044475,1,1
9,0.42669819999719,0,0
9,0.313909200020134,1,1
9,0.4575812999974,1,1
9,0.487982299993746,0,0
9,0.336441199993715,1,1
9,0.45819279999705,0,1
9,0.432434000016656,0,1
9,0.363288399996236,0,0
9,0.409415200003423,0,1
9,0.281020499998704,1,0
9,0.506827900011558,1,0
9,0.412353900028393,0,1
9,0.232865499972831,0,1
9,0.25172450003447,0,0
9,0.281448800000362,0,1
9,0.376600900024641,1,0
9,0.442001599993091,1,1
9,0.329202900000382,0,0
9,0.570397600007709,1,0
9,0.393400500004645,1,1
9,0.405814600002486,1,0
9,0.601369399984833,0,1
9,0.233053300005849,1,1
9,0.290249400015455,0,0
9,0.234473999997135,1,1
9,0.344983899965882,0,0
9,0.296392199990805,1,0
9,0.47311710001668,0,1
9,0.518974300008267,0,1
9,0.586233699985314,0,0
9,0.506019299966283,1,1
9,0.23283980000997,0,0
9,0.334905900002923,1,1
9,0.33405559998937,1,1
9,0.232844399986789,1,1
9,0.552421699976549,0,0
9,0.270684799994342,1,0
9,0.360816499975044,0,1
9,0.488692599989008,0,0
9,0.440164100029506,1,1
9,0.239415400021244,1,0
9,0.232956799969543,1,0
9,0.232916100008879,0,0
9,0.2672203,1,1
9,0.590170199982822,1,1
9,0.232966200041119,1,1
9,0.232998799998313,0,0
9,0.473413900006562,0,0
9,0.282142399984878,1,0
9,0.53751990001183,0,1
9,0.233030200004578,0,0
9,0.295728500001132,1,0
9,0.48926709999796,1,1
9,0.232988299976569,1,1
9,0.232762600004207,0,0
9,0.265490599966142,1,0
9,0.376482599996962,1,1
9,0.232921899994835,0,0
9,0.556504800042603,1,1
9,0.574018899991643,1,1
9,0.446657399996184,0,0
9,0.361400199995842,1,1
9,0.348308800021186,0,1
9,0.312525900022592,0,1
9,0.265674600028433,1,0
9,0.48912460001884,1,0
9,0.413265500043053,1,0
9,0.233490400016308,0,1
9,0.429893699998502,0,0
9,0.425854900036938,1,0
9,0.297637799987569,0,0
9,0.233044399996288,1,1
9,0.296889299992472,1,0
9,0.296958599996287,1,1
9,0.601414399978239,0,0
9,0.281408000038937,0,1
9,0.590662900009193,0,1
