P,T,W,M,condition_id
16,50,500,550,P16_T50_W500
16,50,600,650,P16_T50_W600
16,50,800,850,P16_T50_W800
16,50,1000,1050,P16_T50_W1000
16,50,1200,1250,P16_T50_W1200
16,50,1500,1550,P16_T50_W1500
16,80,200,280,P16_T80_W200
16,80,300,380,P16_T80_W300
16,80,400,480,P16_T80_W400
16,80,500,580,P16_T80_W500
16,80,600,680,P16_T80_W600
16,80,800,880,P16_T80_W800
16,80,1000,1080,P16_T80_W1000
16,80,1200,1280,P16_T80_W1200
16,80,1500,1580,P16_T80_W1500
16,100,200,300,P16_T100_W200
16,100,300,400,P16_T100_W300
16,100,400,500,P16_T100_W400
16,100,500,600,P16_T100_W500
16,100,600,700,P16_T100_W600
16,100,800,900,P16_T100_W800
16,100,1000,1100,P16_T100_W1000
16,100,1200,1300,P16_T100_W1200
16,100,1500,1600,P16_T100_W1500
16,150,200,350,P16_T150_W200
16,150,300,450,P16_T150_W300
16,150,400,550,P16_T150_W400
16,150,500,650,P16_T150_W500
16,150,600,750,P16_T150_W600
16,150,800,950,P16_T150_W800
16,150,1000,1150,P16_T150_W1000
16,150,1200,1350,P16_T150_W1200
16,150,1500,1650,P16_T150_W1500
16,200,200,400,P16_T200_W200
16,200,300,500,P16_T200_W300
16,200,400,600,P16_T200_W400
16,200,500,700,P16_T200_W500
16,200,600,800,P16_T200_W600
16,200,800,1000,P16_T200_W800
