P,T_ms,W_ms,M_ms,is_existing,pred_spe_rt_ms,uncertainty,utility_uncertainty_plus_abs_pred
0,500,300,800,False,-5.846098881385355,12.406158310888836,13.867683031235174
0,200,300,500,False,-5.846280633664652,12.405736130301655,13.867306288717817
0,100,300,400,False,-5.84631810058691,12.405685293140243,13.86726481828697
0,80,300,380,False,-5.846324206929889,12.405680519280882,13.867261571013355
0,500,600,1100,False,3.7333890005834416,11.054778946630504,11.988126196776365
0,200,600,800,False,3.7331624418749776,11.054292241896794,11.987582852365538
0,100,600,700,False,3.733100665285887,11.054233691710156,11.987508858031628
0,80,600,680,False,3.7330891345633415,11.054228203027249,11.987500486668084
8,500,600,1100,False,3.4318906099882778,10.946220107499249,11.804192759996319
8,200,600,800,False,3.431662210835814,10.945728519538747,11.8036440722477
8,100,600,700,False,3.4316001158033576,10.94566958344521,11.803569612396048
8,80,600,680,False,3.4315885390944985,10.945664092098355,11.80356122687198
8,30,600,630,False,3.4315608256815953,10.945659545269457,11.803549751689856
15,500,600,1100,False,3.169516493559481,10.859691552075581,11.652070675465453
15,200,600,800,False,3.169286512292574,10.859196091077019,11.651517719150162
15,100,600,700,False,3.169224146640662,10.859136870057156,11.651442906717321
15,80,600,680,False,3.1692125312131,10.85913138209618,11.651434514899455
15,30,600,630,False,3.1691847434695024,10.859126931774133,11.651423117641508
30,500,600,1100,False,2.612287296369109,10.701951706879559,11.355023530971836
30,200,600,800,False,2.6120540166327437,10.701449335598378,11.354462839756565
30,100,600,700,False,2.6119910967799775,10.701389683569165,11.354387457764158
30,80,600,680,False,2.6119794032298174,10.701384221762439,11.354379072569893
30,30,600,630,False,2.6119514678926503,10.701380000680278,11.35436786765344
60,500,600,1100,False,1.5216920309811073,10.506199578238839,10.886622585984115
60,200,600,800,False,1.521452549698978,10.505689872393134,10.886053009817878
60,100,600,700,False,1.5213886298904562,10.505630170894428,10.88597732836704
60,80,600,680,False,1.5213768003829813,10.505624842929917,10.885969043025662
60,30,600,630,False,1.5213486185355087,10.505621166069593,10.88595832070347
120,500,600,1100,False,-0.5372985078905543,10.620907134475404,10.755231761448043
120,200,600,800,False,-0.537548661825447,10.620411658011857,10.754798823468219
120,100,600,700,False,-0.5376141243147536,10.620355286198489,10.754758817277178
