SubjectUID,DesignCell,P,T_ms,W_ms,SPE_RT_ms,P_z,T_z,W_z
group7_12,P120_T30_W800,120,30.0,800.0,-1.4831068684972024,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_2,P120_T30_W800,120,30.0,800.0,4.30256078435184,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_3,P120_T30_W800,120,30.0,800.0,-90.79295766003395,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_4,P120_T30_W800,120,30.0,800.0,41.96499028037749,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_5,P120_T30_W800,120,30.0,800.0,-14.867140910290232,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_6,P120_T30_W800,120,30.0,800.0,1.7401957264738712,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_7,P120_T30_W800,120,30.0,800.0,-62.711139382944225,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_8,P120_T30_W800,120,30.0,800.0,37.40851627816545,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_9,P120_T30_W800,120,30.0,800.0,5.938137930564494,0.792835929536557,-0.5180938517168422,0.060912397645226685
group8_1,P120_T80_W800,120,80.0,800.0,-38.591272948111396,0.792835929536557,-0.1711208003387439,0.060912397645226685
group8_10,P120_T80_W800,120,80.0,800.0,10.558314759621453,0.792835929536557,-0.1711208003387439,0.060912397645226685
group8_11,P120_T80_W800,120,80.0,800.0,-15.390777227003127,0.792835929536557,-0.1711208003387439,0.060912397645226685
group8_12,P120_T80_W800,120,80.0,800.0,-1.4831068684972024,0.792835929536557,-0.1711208003387439,0.060912397645226685
group8_2,P120_T80_W800,120,80.0,800.0,4.30256078435184,0.792835929536557,-0.1711208003387439,0.060912397645226685
group8_3,P120_T80_W800,120,80.0,800.0,-90.79295766003395,0.792835929536557,-0.1711208003387439,0.060912397645226685
group8_4,P120_T80_W800,120,80.0,800.0,41.96499028037749,0.792835929536557,-0.1711208003387439,0.060912397645226685
group8_5,P120_T80_W800,120,80.0,800.0,-14.867140910290232,0.792835929536557,-0.1711208003387439,0.060912397645226685
group8_6,P120_T80_W800,120,80.0,800.0,1.7401957264738712,0.792835929536557,-0.1711208003387439,0.060912397645226685
